"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","上市日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址"
"2434","統懋半導體股份有限公司","統懋","半導體業","－","台南市新市區中山路76號","	22404266","翁淑貞","唐永渝","嚴永森","副總經理","何坤發","06-5991621","1987/03/09","2000/09/11",新台幣                 10.0000元,370000000,37000000,27489119,0,合併,每年,股東會,"統一綜合證券(股)公司股務代理部","02-27463797","台北市松山區東興路8號B1","安永聯合會計師事務所","李芳文","邱琬茹","MOSPEC","No.76, Zhongshan Rd., Xinshi Dist.,Tainan City 74442, Taiwan (R.O.C.)","06-5991626","mospectn@ms27.hinet.net","http://www.mospec.com.tw/","嚴永森","副總經理","06-5991621#203","yys@mail.mospec.com.tw","http://www.mospec.com.tw/big5/stakeholder.htm"
"2436","偉詮電子股份有限公司","偉詮電","半導體業","－","新竹縣科學工業園區工業東九路24號2樓","	22099499","林錫銘","林登信","郭幸容","財務長","林崇燾","(03)5780241","1989/07/05","2000/09/11",新台幣                 10.0000元,1780099610,178009961,0,0,合併,每年,股東會,"中國信託商業銀行代理部","(02)66365566","台北巿重慶南路一段83號5樓","勤業眾信聯合會計師事務所","林政治","王攀發","Weltrend","2F., No. 24, Industry E. 9th Rd., Hsinchu Science ParkHsinchu 300, Taiwan","(03)5679356","cindy@weltrend.com.tw","www.weltrend.com.tw","郭幸容","財務長","(03)5780241-210","cindy@weltrend.com.tw","www.weltrend.com.tw"
"2441","超豐電子股份有限公司","超豐","半導體業","－","苗栗縣竹南鎮公義路136號","	05126366","謝永達","甯鑑超","陳笙","管理處副總經理","林美玲","037-638568","1983/03/07","2000/10/26",新台幣                 10.0000元,5688459210,568845921,0,0,個別,每年,股東會,"元大證券股份有限公司股務代理部","02-25865859","台北市承德路三段210號地下一樓","勤業眾信聯合會計師事務所","林政治","方蘇立","GTK","136,GONG-YI RD.ZHUNAN TOWNSHIP, MIAOLI COUNTY,TAIWAN","037-628323","sheng@greatek.com.tw","www.greatek.com.tw","陳笙","副總經理","037-638568","sheng@greatek.com.tw","www.greatek.com.tw"
"2449","京元電子股份有限公司","京元電子","半導體業","－","新竹市公道五路二段81號","	22507241","李金恭","張高薰","趙敬堯","副總經理暨財務長","張垂欽","(03)575-1888","1987/05/28","2001/05/09",新台幣                 10.0000元,12227450650,1222745065,0,0,合併,每年,股東會,"宏遠證券股份有限公司","(02)7719-8899","台北市信義路四段236號3樓","安永聯合會計師事務所","郭紹彬","許新民","KYEC","No. 81 , Sec.2 , Gongdaowu Rd.,Hsin-Chu 300,Taiwan,R.O.C","(03)575-3899","invest@kyec.com.tw","www.kyec.com.tw","張垂欽","處長","(03)5751888ext.28200","aaronchang@kyec.com.tw","http://www.kyec.com.tw/csr/csr_stakeholder.aspx"
"2451","創見資訊股份有限公司","創見","半導體業","－","台北市內湖區行忠路70號","	23446187","束崇萬","束崇萬","陳柏壽","業務處副總經理","楊丹婷","02-27928000","1989/08/30","2001/05/03",新台幣                 10.0000元,4290616750,429061675,0,0,合併,每年,董事會,"中國信託商業銀行","02-6636-5566","台北市重慶南路一段83號5樓","資誠聯合會計師事務所","陳晉昌","林一帆","Transcend","No. 70, XingZhong Rd., NeiHu Dist.Taipei, Taiwan, R.O.C.","02-27923375","IR@transcend-info.com","http://www.transcend-info.com","陳柏壽","業務處副總經理","02-27928000*7533","ir@transcend-info.com","http://tw.transcend-info.com/about/stakeholders"
"2454","聯發科技股份有限公司","聯發科","半導體業","－","新竹科學工業園區新竹市篤行一路1號","	84149961","蔡明介","陳冠州","顧大為","財務長","王巧潔","(03)5670766","1997/05/28","2001/07/23",新台幣                 10.0000元,15996475170,1599647517,0,0,合併,每半會計年度,董事會,"中國信託商業銀行股務代理部","02-6636-5566","100台北市重慶南路一段83號5樓","安永聯合會計師事務所","郭紹彬","傅文芳","MTK","No. 1, Dusing Rd. 1, HsinChu Science Park,HsinChu , Taiwan 300, R.O.C","(03)5670511","ir@mediatek.com","http://www.mediatek.com","王巧潔","經理","03-5670766","ir@mediatek.com","http://www.mediatek.com/zh-TW/about/citizenship/stakeholder-engagement/"
"2458","義隆電子股份有限公司","義隆","半導體業","－","新竹科學園區新竹縣創新一路十二號","	84149224","葉儀皓","葉儀皓","劉代銘","處長","白又潔","03-5639977","1994/05/05","2001/09/17",新台幣                 10.0000元,3038803920,303880392,0,0,合併,每半會計年度,董事會,"元富證券股份有限公司","02-27686668","台北市松山區光復北路11巷35號地下1樓","安侯建業聯合會計師事務所","周寶蓮","曾渼鈺","ELAN","NO.12, INNOVATION RD.1, SCIENCE-BASED INDUSTRIAL PARKHSINCHU, TAIWAN, R.O.C.","03-5781623","addldm@emc.com.tw","http://www.emc.com.tw/","江巧伶","專案副理","(03)5639977","emily@emc.com.tw","http://www.emc.com.tw/twn/Social_Responsibility06.asp"
"2481","強茂股份有限公司","強茂","半導體業","－","高雄市岡山區岡山北路24號","	22145016","方敏清","方敏清","沈盈秀","財務長","謝百成","07-6213121","1986/05/20","2001/09/17",新台幣                 10.0000元,3821149270,382114927,0,0,合併,每年,董事會,"元大證券股份有限公司","02-25865859","台北市承德路3段210號地下1樓","安永聯合會計師事務所","陳政初","傅文芳","PANJIT","No.24, Gangshan N. Rd., Gangshan Dist.,Kaohsiung City 820, Taiwan (R.O.C.)","07-6213129","investor@panjit.com.tw","www.panjit.com.tw","沈盈秀","財務長","(07)961-1105","investor@panjit.com.tw","https://www.panjit.com.tw/tw/CSR/stakeholder"
"3006","晶豪科技股份有限公司","晶豪科","半導體業","－","新竹科學園區新竹市工業東四路23號","	16130280","陳興海","張明鑒","吳鴻基","特別助理","張幸珠","03-5781-970","1998/06/02","2002/03/04",新台幣                 10.0000元,2861710700,286171070,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","02-2702-3999","台北市敦化南路二段97號地下二樓","資誠聯合會計師事務所","白淑蒨","鄭雅慧","ESMT","NO 23,Industry  E. RD. IV ,Science-Based Industrial Park,Hsinchu, Taiwan, R.O.C.","03-5781971","spokesman@esmt.com.tw","www.esmt.com.tw","吳鴻基","特別助理","03-5781-970","spokesman@esmt.com.tw","http://www.esmt.com.tw/taiwan/main_stakeholder.htm"
"3014","聯陽半導體股份有限公司","聯陽","半導體業","－","新竹縣新竹科學園區創新一路13號3樓","	84149717","胡鈞陽","林弘堯","林秀哲","專案處長","劉燦煌","(03)5798658","1996/05/29","2002/10/29",新台幣                 10.0000元,1610801240,161080124,0,0,合併,每年,董事會,"宏遠證券股份有限公司","(02)23268818","台北市信義路四段236號","安永聯合會計師事務所","胡慎緁","許新民","ITE","NO. 13,  Chuangsin  1st  Rd,Science Park,  Hsinchu 30076,  Taiwan,  ROCHsin-chu , Taiwan 30076 , R.O.C.","(03)5794534","itesupport@ite.com.tw","www.ite.com.tw","林秀哲","專案處長","02-29126889#2388","sj.lin@ite.com.tw","http://www.ite.com.tw/zh-tw/csr/stockholder"
"3016","嘉晶電子股份有限公司","嘉晶","半導體業","－","新竹市科學工業園區篤行一路10號","	16130388","徐建華","孫慶宗","范桂榮","發言人","林婷苑","03-5632255","1998/11/09","2002/12/24",新台幣                 10.0000元,2885393690,288539369,0,0,合併,每年,董事會,"永豐金證券股份有限公司","02-23816288","台北市中正區博愛路17號3樓","資誠聯合會計師事務所","謝智政","江采燕","EPi","No.10 Dusing Road I,Science Park ,Hsin Chu City,TaiwanHsin-Chu City, Taiwan, R.O.C","03-5632148","epi@epi.episil.com","www.epi.episil.com","范桂榮","發言人","03-5632255","famy.fan@epi.episil.com","http://www.epi.episil.com/stakeholders/contact-us"
"3034","聯詠科技股份有限公司","聯詠","半導體業","－","新竹科學園區創新一路13號2樓","	84149955","何泰舜","王守仁","陳健興","副總經理","周勝成","(03)567-0889","1997/05/28","2002/08/26",新台幣                 10.0000元,6085114690,608511469,0,0,合併,每年,股東會,"宏遠證券股份有限公司股務代理部","(02)23268818","台北市信義路四段236號3樓","安永會計師事務所","陳智忠","邱琬茹","NOVATEK　","2F, NO. 13, INNOVATION ROAD I, SCIENCE-BASED INDUSTRIAL PARKHSIN-CHU TAIWAN, ROC","(03)565-6118","ir@novatek.com.tw","www.novatek.com.tw","陳健興","副總經理","03-5670889","ir@novatek.com.tw","https://www.novatek.com.tw/zh-TW/Html/stakeholder"
"3035","智原科技股份有限公司","智原","半導體業","－","新竹科學園區新竹市力行三路5號","	84149060","洪嘉聰","王國雍","曾雯如","財務長","盧昭儀","03-5787888","1993/06/10","2002/08/26",新台幣                 10.0000元,2485503130,248550313,0,0,合併,每年,董事會,"宏遠證券股份有限公司","(02)2700-8899","台北市大安區信義路4段236號3樓","安永聯合會計師事務所","胡慎緁","楊雨霓","Faraday　","No.5,Li-Hsin III Road,Science-Based Industrial Park,　　Hsin-chu City,Taiwan 30078,R.O.C.　　","03-5778605","ir@faraday-tech.com","www.faraday-tech.com","盧昭儀","經理","03-5787888","ir@faraday-tech.com","https://www.faraday-tech.com/tw/content/CSR/StakeholderEngagement"
"3041","揚智科技股份有限公司","揚智","半導體業","－","台北市內湖區內湖路一段246號5樓","	84149054","梁厚誼","程心璿","程心璿","總經理","游俊菖","8752-2000","1993/06/10","2002/08/26",新台幣                 10.0000元,1939617460,193961746,0,0,合併,每季,董事會,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路一段83號5樓","資誠聯合會計師事務所","徐潔如","徐聖忠","ALi","5F,No. 246 NeiHu Road, Sec. 1Taipei city 114, Taiwan, R.O.C","8751-1006","general@alitech.com","www.alitech.com","王志峰","財務處經理","(02)8752-2000","ir@alitech.com","http://www.alitech.com/leavemsg.html?lang=tw"
"3094","聯傑國際股份有限公司","聯傑","半導體業","－","新竹科學園區力行六路6號","	84149759","郝挺","陳念台","楊春俊","財務長","邱貴鳳","03-5798797","1996/08/16","2007/08/06",新台幣                 10.0000元,831170890,83117089,0,0,合併,每年,股東會,"富邦綜合證券股份有限公司","02-2361-1300","台北市許昌街17號2樓","資誠聯合會計師事務所","林佳鴻","蕭春鴛","DAVICOM　　","NO.6 Li-Hsin Rd. VI, Science-  ParkHsin-Chu, Taiwan, R.O.C.","03-6232797","investor@davicom.com.tw","http://www.davicom.com.tw","楊春俊","財務長","03-5798797 #8598","james_yang@davicom.com.tw","http://tw.davicom.com.tw/page1.aspx?no=280160"
"3189","景碩科技股份有限公司","景碩","半導體業","－","桃園市新屋區中華路1245號","	70785139","廖賜政","陳河旭","穆顯爵","資深專案處長","劉素真","(03)4871919","2000/09/11","2004/11/01",新台幣                 10.0000元,4544745600,454474560,0,0,合併,每年,董事會,"凱基證券股份有限公司","(02)23892999","台北市重慶南路一段2號5樓","安永聯合會計師事務所","張志銘","陳國帥","KINSUS","No.1245, Junghua Rd., Shin-Wu  Dist.,Taoyuan,Taiwan, R.O.C.　　","(03)4871920","jackmu@kinsus.com.tw","www.kinsus.com.tw","穆顯爵","資深專案處長","(03)4871919#26660","jackmu@kinsus.com.tw","www.kinsus.com.tw"
"3257","虹冠電子工業股份有限公司","虹冠電","半導體業","－","新竹科學工業園區新竹市東區園區二路11號5樓","	16130417","方敏宗","林保偉","林保偉","總經理","林鴻振","03-5679979","1998/12/30","2011/03/21",新台幣                 10.0000元,799865900,79986590,0,0,合併,每年,董事會,"福邦證券股份有限公司股務代理部","(02)2371-1658","台北市中正區忠孝西路一段6號6樓","安永聯合會計師事務所","陳政初","傅文芳","CHAMPION","5F, NO.11, Park Ave. 2, Hsinchu Science-Based Industrial Park,HsinChu, Taiwan, 30075","03-5670701","invest@championmicro.com.tw","http://www.championmicro.com.tw","林保偉","總經理","02-26963558","bauwei_lin@championmicro.com.tw.com.tw","https://www.championmicro.com.tw/investors/18"
"3413","京鼎精密科技股份有限公司","京鼎","半導體業","－","(35053)新竹科學園區苗栗縣竹南鎮科中路16號","	12858252","劉揚偉","邱耀銓","李貞誼","副總經理","鄒永芳","037-580088","2001/04/26","2015/07/28",新台幣                 10.0000元,971595460,97159546,8117258,0,合併,每年,董事會,"福邦證券股份有限公司","(02)2371-1658","台北市中正區忠孝西路一段６號６樓","資誠聯合會計師事務所","徐聖忠","馮敏娟","Fiti","No16,Ke-Jung RD.,Science-Based Industrial ParkChu-Nan,Miao-Li Hsien,Taiwan 350,ROC","037-582690","fitistock@foxsemicon.com","http://www.foxsemicon.com.tw/","李貞誼","發言人","037-580088","fitistock@foxsemicon.com","http://www.foxsemicon.com.tw/"
"3443","創意電子股份有限公司","創意","半導體業","－","新竹科學工業園區新竹市力行六路十號","	16299879","曾繁城","戴尚義","錢培倫","資深副總經理暨財務長","林新洲","03-5646600","1998/01/22","2006/11/03",新台幣                 10.0000元,1340119110,134011911,0,0,合併,每年,股東會,"中國信託商業銀行代理部","02-66365566","台北市100重慶南路一段八十三號5樓","勤業眾信聯合會計師事務所","陳明煇","方蘇立","GUC","No.10, Li-Hsin 6th Rd., Hsinchu Science ParkHsinchu City 300, Taiwan","03-6669809","irinfo@guc-asic.com","www.guc-asic.com","林新洲","副處長","03-5646600","asialin@guc-asic.com","http://www.guc-asic.com/10-0.php"
"3450","聯鈞光電股份有限公司","聯鈞","半導體業","－","新北市中和區橋安街35號10樓","	12624467","鄭祝良","宋天增","梁聰明","副總經理","陳雅蘭","(02)8245-6186","2000/09/27","2006/04/12",新台幣                 10.0000元,1456813820,145681382,0,0,合併,每年,股東會,"富邦綜合證券(股)公司股務代理部","(02)2361-1300","台北市許昌街17號2樓","勤業眾信聯合會計師事務所","張耿禧","謝建新","ELASER","10F, 35 Chiau An StreetChung Ho Dist.,New Taipei City,Taiwan.","(02)8245-3100","elaser@elaser.com.tw","http://www.elaser.com.tw","梁聰明","副總經理","(02)82456186","elaser@elaser.com.tw","http://www.elaser.com.tw"
"3530","晶相光電股份有限公司","晶相光","半導體業","－","新竹市科學工業園區力行一路10-2號4樓","	27298412","何新平","何新平","簡宏亨","處長","黃淑華","03-5678986","2004/05/24","2018/07/16",新台幣                 10.0000元,784559000,78455900,0,0,合併,每年,股東會,"群益金鼎證券(股)公司股務代理部","(02)2702-3999","106台北市大安區敦化南路二段97號地下二樓","勤業眾信聯合會計師事務所","陳明煇","葉東煇","SOI","4F, No.10-2, Li-Hsin 1st Rd., Hsinchu Science-Based ParkHsin-Chu, Taiwan, R.O.C.","03-5678982","ir@soinc.com.tw","www.soinc.com.tw","黃淑華","副總經理暨財務長","03-5678986","ir@soinc.com.tw","www.soinc.com.tw"
"3532","台塑勝高科技股份有限公司","台勝科","半導體業","－","台北市敦化北路201號7樓388室","	89406518","林健男","田中&#24693;一","邱紹勛","協理","余秉岳","02-27122211","1995/11/21","2007/12/10",新台幣                 10.0000元,3878483000,387848300,0,0,合併,每年,董事會,"本公司股務室","02-27189898","台北市內湖區南京東路六段380號10樓","勤業眾信會計師事務所","楊靜婷","莊文源","FST","Rm388,7F,201,Tung Hwa N.Rd.Taipei,Taiwan","02-27178567","comment@fstech.com.tw","www.fstech.com.tw","蕭穎鴻","高專","0227122211ext.6111","fstir@fstech.com.tw","www.fstech.com.tw/interestedparty/index.html"
"3545","敦泰電子股份有限公司","敦泰","半導體業","－","新竹縣竹北市環科一路23號11樓之1","	28069900","胡正大","胡正大","張維杰","財務長","職缺待補","03-6561660","2006/01/03","2007/07/03",新台幣                 10.0000元,2159300490,215930049,0,0,合併,每年,股東會,"中國信託商業銀行代理部","02-6636-5566","台北市100中正區重慶南路一段八十三號五樓","勤業眾信聯合會計師事務所","郭宇閎","邵志明","FocalTech","11-1F., No. 23, Huanke 1st Rd., Zhubei CityHsin-Chu County 302, Taiwan","03-6661696","ir@focaltech-electronics.com","http://www.focaltech-electronics.com","張維杰","財務長","03-6561660","ir@focaltech-electronics.com","http://www.focaltech-electronics.com"
